,TLT,IEI,VTI,BND,IAU,DBC,SHV,Portfolio Returns,Portfolio Values
2010-01-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00027729265938170045,10000.0
2010-02-28,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.014195818346111222,10002.772926593818
2010-03-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.01625907433242535,9860.775379170493
2010-04-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.024383155610742002,10021.102459035776
2010-05-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.04080678653832592,9776.756358385917
2010-06-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.029793158563110655,10175.714368139792
2010-07-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.04919769563554621,9872.54769647688
2010-08-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.01112967091371636,10358.254293195563
2010-09-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.0035961609094008473,10473.538254719419
2010-10-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.002095585447774384,10435.873725864682
2010-11-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.047333722689415936,10457.742990979415
2010-12-31,0.0,0.0,0.0,0.0,0.5,0.5,0.0,-0.014228508137070994,10952.746897671619
2011-01-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.03934326042844816,10796.90564931482
2011-02-28,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.01538338329586475,11221.691120097197
2011-03-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.03726048431306217,11394.318695825454
2011-04-30,0.0,0.0,0.0,0.0,0.5,0.5,0.0,-0.03503040903625482,11818.876528849289
2011-05-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.030320109259166894,11404.856449694707
2011-06-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.011459545160567797,11059.059956054849
2011-07-31,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.05945515286978914,11185.791753054686
2011-08-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.010194083312759006,11850.844711702179
2011-09-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.010544508598310964,11971.65321001984
2011-10-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.01859196174827915,12097.88841022889
2011-11-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.0364096608867473,12322.811888786815
2011-12-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.001505470106627882,11874.14248674491
2012-01-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.027708642176252962,11892.018653300545
2012-02-29,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.005841592766381909,11562.506963682916
2012-03-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0023348845568345045,11494.963506642625
2012-04-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.013998548699238167,11521.80291941566
2012-05-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.011834676688356083,11683.091438686126
