,TLT,IEI,VTI,BND,IAU,DBC,SHV,Portfolio Returns,Portfolio Values
1/31/2010,0.5,0.5,0,0,0,0,0,0.000277217,10000
2/28/2010,0.5,0.5,0,0,0,0,0,-0.014195419,10002.77217
3/31/2010,0,0,0.5,0.5,0,0,0,0.016259475,9860.778632
4/30/2010,0,0,0.5,0,0.5,0,0,-0.024383353,10021.10972
5/31/2010,0.5,0,0,0,0.5,0,0,0.040806825,9776.761461
6/30/2010,0.5,0,0,0,0.5,0,0,-0.029794208,10175.72005
7/31/2010,0.5,0.5,0,0,0,0,0,0.049198491,9872.542537
8/31/2010,0.5,0,0,0,0.5,0,0,0.011129467,10358.25674
9/30/2010,0.5,0,0,0,0.5,0,0,-0.00359606,10473.53861
10/31/2010,0.5,0,0,0,0.5,0,0,0.00209553,10435.87514
11/30/2010,0,0,0.5,0,0.5,0,0,0.04733372,10457.74383
12/31/2010,0,0,0,0,0.5,0.5,0,-0.014228469,10952.74775
1/31/2011,0,0,0.5,0,0,0.5,0,0.039343035,10796.90692
2/28/2011,0,0,0.5,0,0,0.5,0,0.015383383,11221.69
3/31/2011,0,0,0.5,0,0,0.5,0,0.037260596,11394.31756
4/30/2011,0,0,0,0,0.5,0.5,0,-0.035030411,11818.87662
5/31/2011,0,0,0.5,0,0,0.5,0,-0.030320386,11404.85652
6/30/2011,0,0,0.5,0,0,0.5,0,0.011459754,11059.05686
7/31/2011,0,0,0,0,0.5,0.5,0,0.059455187,11185.79094
8/31/2011,0.5,0,0,0,0.5,0,0,0.010194542,11850.84423
9/30/2011,0.5,0,0,0,0.5,0,0,0.010544301,11971.65816
10/31/2011,0.5,0,0,0,0.5,0,0,0.01859159,12097.89092
11/30/2011,0.5,0,0,0,0.5,0,0,-0.036409698,12322.80995
12/31/2011,0.5,0.5,0,0,0,0,0,0.001505367,11874.14016
1/31/2012,0.5,0,0,0,0.5,0,0,-0.027708384,11892.01509
2/29/2012,0.5,0,0.5,0,0,0,0,-0.005841637,11562.50657
3/31/2012,0,0,0.5,0.5,0,0,0,0.002334556,11494.96261
4/30/2012,0.5,0,0.5,0,0,0,0,0.013998507,11521.79824
5/31/2012,0.5,0,0.5,0,0,0,0,0.011834293,11683.08621
6/30/2012,0.5,0,0.5,0,0,0,0,0.023462674,11821.34727
7/31/2012,0.5,0,0.5,0,0,0,0,0.006916912,12098.70769
8/31/2012,0.5,0,0.5,0,0,0,0,-0.000206942,12182.39338
9/30/2012,0,0,0.5,0,0.5,0,0,-0.023794618,12179.87233
10/31/2012,0.5,0,0.5,0,0,0,0,0.009667662,11890.05691
11/30/2012,0.5,0,0.5,0,0,0,0,-0.005974285,12005.00596
12/31/2012,0,0,0.5,0,0,0.5,0,0.039506877,11933.28463
1/31/2013,0,0,0.5,0,0,0.5,0,-0.017125524,12404.73144
2/28/2013,0,0.5,0.5,0,0,0,0,0.020257366,12192.29392
3/31/2013,0,0.5,0.5,0,0,0,0,0.010848023,12439.27768
4/30/2013,0.5,0,0.5,0,0,0,0,-0.021587399,12574.21925
5/31/2013,0,0,0.5,0,0,0,0.5,-0.007274431,12302.77456
6/30/2013,0,0,0.5,0,0,0,0.5,0.028864698,12213.27887
7/31/2013,0,0,0.5,0,0,0,0.5,-0.015156555,12565.81147
8/31/2013,0,0,0.5,0,0,0,0.5,0.01953081,12375.35705
9/30/2013,0,0,0.5,0,0,0,0.5,0.021244286,12617.0578
10/31/2013,0,0,0.5,0.5,0,0,0,0.01204208,12885.09818
11/30/2013,0,0,0.5,0.5,0,0,0,0.0104835,13040.26157
12/31/2013,0,0,0.5,0,0,0,0.5,-0.015891768,13176.96916
1/31/2014,0,0,0.5,0.5,0,0,0,0.026680948,12967.56382
2/28/2014,0,0,0.5,0.5,0,0,0,0.001698489,13313.55072
3/31/2014,0.5,0,0.5,0,0,0,0,0.010784025,13336.16365
4/30/2014,0,0,0.5,0,0,0.5,0,0.003315262,13479.98117
5/31/2014,0.5,0,0.5,0,0,0,0,0.011849968,13524.67084
6/30/2014,0.5,0,0.5,0,0,0,0,-0.006652851,13684.93777
7/31/2014,0.5,0,0.5,0,0,0,0,0.04437308,13593.89392
8/31/2014,0.5,0,0.5,0,0,0,0,-0.021045125,14197.09686
9/30/2014,0.5,0,0.5,0,0,0,0,0.02782287,13898.31718
10/31/2014,0.5,0,0.5,0,0,0,0,0.027237885,14285.00825
